year,month,zipcode,median_value,total_listed
2017,07,85044,329950,156
2017,07,85045,379550,74
2017,07,85048,395050,226
2017,07,85050,435e3,175
2017,07,85051,189549.5,103
2017,07,85053,228050,72
2017,07,85054,380625.5,61
2017,07,85083,376050,116
2017,07,85085,415040,191
2017,07,85086,369490,361
2017,07,85087,38e4,77
2017,06,85003,432050,89
2017,06,85004,315800,59
2017,06,85006,280675,54
2017,06,85007,387496.5,67
2017,06,85008,266470,79
2017,06,85009,15e4,64
2017,06,85012,495400,90
2017,06,85013,334975,121
2017,06,85014,336175,117
2017,06,85015,219999.5,99
2017,06,85016,433526.25,299
2017,06,85017,164949.75,42
2017,06,85018,749550,375
2017,06,85019,175049.75,43
2017,06,85020,336775,206
2017,06,85021,404725,143
2017,06,85022,311532.5,186
2017,06,85023,262512.5,93
2017,06,85024,301225,109
2017,06,85027,220050,91
2017,06,85028,404800,97
2017,06,85029,206674.75,117
2017,06,85031,164236.75,44
2017,06,85032,265050,196
2017,06,85033,165e3,81
2017,06,85035,165675,58
2017,06,85037,190174.75,91
2017,06,85040,167e3,51
2017,06,85041,224475,164
2017,06,85042,265500,178
2017,06,85043,199950,74
2017,06,85044,327450,157
2017,06,85045,387450,72
2017,06,85048,395050,244
2017,06,85050,423047.5,178
2017,06,85051,198550,103
2017,06,85053,225450,68
2017,06,85054,382163.25,54
2017,06,85083,375050,123
2017,06,85085,420025,185
2017,06,85086,375050,367
2017,06,85087,399262,87
2017,05,85003,445775,97
2017,05,85004,300050,55
2017,05,85006,283550,53
2017,05,85007,375025,80
2017,05,85008,255500,77
2017,05,85009,142500,63
2017,05,85012,489050,86
2017,05,85013,333725,127
2017,05,85014,339800,126
2017,05,85015,222050,104
2017,05,85016,449262.5,328
2017,05,85017,165050,42
2017,05,85018,762550,410
2017,05,85019,176e3,53
2017,05,85020,330050,186
2017,05,85021,409850,152
2017,05,85022,309975,195
2017,05,85023,262550,101
2017,05,85024,289625,119
2017,05,85027,221550,105
2017,05,85028,409550,108
2017,05,85029,202527.5,123
2017,05,85031,159950,49
2017,05,85032,259750,198
2017,05,85033,165050,81
2017,05,85035,160425,59
2017,05,85037,180275,108
2017,05,85040,165475,50
2017,05,85041,230641.75,159
2017,05,85042,269750,177
2017,05,85043,198875,72
2017,05,85044,327500,159
2017,05,85045,383650,78
2017,05,85048,412500,246
2017,05,85050,384950,190
2017,05,85051,190024.5,94
2017,05,85053,219550,62
2017,05,85054,370550,66
2017,05,85083,377500,122
2017,05,85085,424950,188
2017,05,85086,369950,407
2017,05,85087,417107.5,82
2017,04,85003,449850,97
2017,04,85004,302438.5,57
2017,04,85006,267e3,65
2017,04,85007,382500,83
2017,04,85008,229050,71
2017,04,85009,140050,63
2017,04,85012,463150,82
2017,04,85013,319950,133
2017,04,85014,339040,127
2017,04,85015,209550,108
2017,04,85016,486e3,343
2017,04,85017,154050,38
2017,04,85018,749950,424
2017,04,85019,175e3,49
2017,04,85020,320050,191
2017,04,85021,420050,138
2017,04,85022,294550,201
2017,04,85023,264950,113
2017,04,85024,290050,108
2017,04,85027,216050,103
2017,04,85028,389950,121
2017,04,85029,194950,107
2017,04,85031,156550,48
2017,04,85032,259050,213
2017,04,85033,164950,104
2017,04,85035,161050,76
2017,04,85037,179050,105
2017,04,85040,161050,52
2017,04,85041,223e3,161
2017,04,85042,272040,163
2017,04,85043,199950,66
2017,04,85044,325050,153
2017,04,85045,377450,79
2017,04,85048,393550,238
2017,04,85050,386550,184
2017,04,85051,185050,94
2017,04,85053,219950,64
2017,04,85054,349950,67
2017,04,85083,380050,111
2017,04,85085,417925,183
2017,04,85086,370050,397
2017,04,85087,417050,81
2017,03,85003,462121,88
2017,03,85004,298994.25,58
2017,03,85006,260025,65
2017,03,85007,364912.5,74
2017,03,85008,233800,71
